category,food_type,manufacturer,product,description,upc,delivered_price,delivered_case_price,price_per_unit,price_per_oz,pack_size_raw,cases_per_pallet,lead_time_days,min_pallet_qty,mixed_pallet,available,has_promo,main_category,sub_category,product_id,product_url
Canned Goods,Food,Bear Creek,BEAR CREEK CHEDDAR POTATO SOUP,BEAR CHEDDAR POTATO SOUP,76026352940,4698.24,24.47,4.08,0.31,6/11.5 oz,192,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Pantry & Baking Supplies",599362,https://epallet.com/product/bear-creek-ep-bear-cheddar-potato-soup-599362
Canned Goods,Food,Bear Creek,BEAR CREEK CHEDDAR POTATO SOUP,BEAR CHEDDAR POTATO SOUP,76026352940,4561.92,23.76,3.96,0.30,6/11.5 oz,192,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Pantry & Baking Supplies",599360,https://epallet.com/product/bear-creek-ep-bear-cheddar-potato-soup-599360
Canned Goods,Food,Bear Creek,BEAR CREEK CHEDDAR BROCCOLI SOUP,BEAR CHEDDAR BROC SOUP,76026352934,4561.92,23.76,3.96,0.34,6/10.6 oz,192,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Pantry & Baking Supplies",599358,https://epallet.com/product/bear-creek-ep-bear-cheddar-broccoli-soup-599358
Canned Goods,Food,Bear Creek,BEAR CREEK DARN GOOD CHILI SOUP,BEAR DARN GOOD CHILI SOUP,76026352937,4561.92,23.76,3.96,0.39,6/8.8 oz,192,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Pantry & Baking Supplies",599356,https://epallet.com/product/bear-creek-ep-bear-darn-good-chili-soup-599356
Canned Goods,Food,Bear Creek,BEAR CREEK CHICKEN NOODLE SOUP,BEAR CHICKEN NOODLE SOUP,76026352932,4561.92,23.76,3.96,0.42,6/8.4 oz,192,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Pantry & Baking Supplies",599355,https://epallet.com/product/bear-creek-ep-bear-chicken-noodle-soup-599355
Canned Goods,Food,Bear Creek,BEAR CREEK CREAMY POTATO SOUP,BEAR CREAMY POTATO SOUP,76026352936,4561.92,23.76,3.96,0.34,6/10.5 oz,192,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Pantry & Baking Supplies",599354,https://epallet.com/product/bear-creek-ep-bear-creamy-potato-soup-599354
Canned Goods,Food,Bear Creek,BEAR CREEK VEGETABLE BEEF SOUP,BEAR VEG BEEF SOUP,76026352956,4561.92,23.76,3.96,0.42,6/8.1 oz,192,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Pantry & Baking Supplies",599353,https://epallet.com/product/bear-creek-ep-bear-vegetable-beef-soup-599353
Canned Goods,Food,La Costena,LA COSTENA SERRANO PEPPER,LA COSTENA SEARRANO PEPPER,7639700328,3585.60,39.84,3.32,0.13,12/26 oz,90,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599274,https://epallet.com/product/la-costena-ep-la-costena-serrano-pepper-599274
Canned Goods,Food,La Costena,LA COSTENA CHIPOTLES,LA COSTENA CHIPOTLES,7639700407,6045.20,43.18,1.80,0.26,24/7 oz,140,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599273,https://epallet.com/product/la-costena-ep-la-costena-chipotles-599273
Canned Goods,Food,La Costena,LA COSTENA WHOLE BLACK BEANS,LA COSTENA WHOLE BLACK BEANS,7639703200,2550.00,21.25,1.77,0.09,12/19.75 oz,120,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599238,https://epallet.com/product/la-costena-ep-la-costena-whole-black-beans-599238
Canned Goods,Food,La Costena,LA COSTENA WHOLE PINTO BEANS,LA COSTENA WHOLE PINTO BEANS,7639703100,2536.80,21.14,1.76,0.09,12/19.75 oz,120,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599237,https://epallet.com/product/la-costena-ep-la-costena-whole-pinto-beans-599237
Canned Goods,Food,La Costena,LA COSTENA REFRIED BLACK BNS,LA COSTENA REFRIED BLACK BNS,7639703250,2756.40,22.97,1.91,0.09,12/20.5 oz,120,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599236,https://epallet.com/product/la-costena-ep-la-costena-refried-black-bns-599236
Canned Goods,Food,La Costena,LA COSTENA NACHO JALAPENO,LA COSTENA NACHO JALAPENO,7888376011,3882.48,23.11,1.93,0.16,12/12 oz,168,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599235,https://epallet.com/product/la-costena-ep-la-costena-nacho-jalapeno-599235
Canned Goods,Food,La Costena,LA COSTENA WHOLE JALAPENO,LA COSTENA WHOLE JALAPENO,7888380900,2311.33,47.17,7.86,0.08,6/93 oz,49,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599234,https://epallet.com/product/la-costena-ep-la-costena-whole-jalapeno-599234
Canned Goods,Food,La Costena,LA COSTENA SLICED JALAPENO,LA COSTENA SLICED JALAPENO,7639700228,3165.30,35.17,2.93,0.10,12/28 oz,90,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599233,https://epallet.com/product/la-costena-ep-la-costena-sliced-jalapeno-599233
Canned Goods,Food,La Costena,LA COSTENA REFRIED PINTO BNS,LA COSTENA REFRIED PINTO BNS,7639703150,2770.80,23.09,1.92,0.09,12/20.5 oz,120,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599232,https://epallet.com/product/la-costena-ep-la-costena-refried-pinto-bns-599232
Canned Goods,Food,La Costena,LA COSTENA WHOLE JALAPENO,LA COSTENA WHOLE JALAPENO,7639700128,2483.10,27.59,2.30,0.09,12/26 oz,90,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599231,https://epallet.com/product/la-costena-ep-la-costena-whole-jalapeno-599231
Canned Goods,Food,La Costena,LA COSTENA WHOLE BLACK BEANS,LA COSTENA WHOLE BLACK BEANS,7639703200,2484.00,20.70,1.72,0.09,12/19.75 oz,120,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599220,https://epallet.com/product/la-costena-ep-la-costena-whole-black-beans-599220
Canned Goods,Food,La Costena,LA COSTENA WHOLE PINTO BEANS,LA COSTENA WHOLE PINTO BEANS,7639703100,2470.80,20.59,1.72,0.09,12/19.75 oz,120,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599219,https://epallet.com/product/la-costena-ep-la-costena-whole-pinto-beans-599219
Canned Goods,Food,La Costena,LA COSTENA REFRIED BLACK BNS,LA COSTENA REFRIED BLACK BNS,7639703250,2683.20,22.36,1.86,0.09,12/20.5 oz,120,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599218,https://epallet.com/product/la-costena-ep-la-costena-refried-black-bns-599218
Canned Goods,Food,La Costena,LA COSTENA NACHO JALAPENO,LA COSTENA NACHO JALAPENO,7888376011,3773.28,22.46,1.87,0.16,12/12 oz,168,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599217,https://epallet.com/product/la-costena-ep-la-costena-nacho-jalapeno-599217
Canned Goods,Food,La Costena,LA COSTENA WHOLE JALAPENO,LA COSTENA WHOLE JALAPENO,7888380900,2254.49,46.01,7.67,0.08,6/93 oz,49,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599216,https://epallet.com/product/la-costena-ep-la-costena-whole-jalapeno-599216
Canned Goods,Food,La Costena,LA COSTENA SLICED JALAPENO,LA COSTENA SLICED JALAPENO,7639700228,3080.70,34.23,2.85,0.10,12/28 oz,90,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599215,https://epallet.com/product/la-costena-ep-la-costena-sliced-jalapeno-599215
Canned Goods,Food,La Costena,LA COSTENA REFRIED PINTO BNS,LA COSTENA REFRIED PINTO BNS,7639703150,2697.60,22.48,1.87,0.09,12/20.5 oz,120,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599214,https://epallet.com/product/la-costena-ep-la-costena-refried-pinto-bns-599214
Canned Goods,Food,La Costena,LA COSTENA CHIPOTLES,LA COSTENA CHIPOTLES,7639700407,5866.00,41.90,1.75,0.25,24/7 oz,140,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599213,https://epallet.com/product/la-costena-ep-la-costena-chipotles-599213
Canned Goods,Food,La Costena,LA COSTENA WHOLE JALAPENO,LA COSTENA WHOLE JALAPENO,7639700128,2421.00,26.90,2.24,0.09,12/26 oz,90,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599212,https://epallet.com/product/la-costena-ep-la-costena-whole-jalapeno-599212
Canned Goods,Food,La Costena,LA COSTENA SERRANO PEPPER,LA COSTENA SEARRANO PEPPER,7639700328,3487.50,38.75,3.23,0.12,12/26 oz,90,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599211,https://epallet.com/product/la-costena-ep-la-costena-searrano-pepper-599211
Canned Goods,Food,Iberia,IBERIA PINK BEANS,IBERIA PINK BEANS W/B,7566910180,3318.30,36.87,1.54,0.10,24/15 oz,90,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Pantry & Baking Supplies",599177,https://epallet.com/product/iberia-ep-iberia-pink-beans-599177
Canned Goods,Food,Iberia,IBERIA RED PIMIENTOS TIN,IBERIA RED PIMIENTOS TIN,7566911612,1891.20,31.52,1.31,0.19,24/7 oz,60,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599175,https://epallet.com/product/iberia-ep-iberia-red-pimientos-tin-599175
Canned Goods,Food,Iberia,IBERIA CORNED BEEF,IBERIA CORNED BEEF,7566911211,10308.87,104.13,4.34,0.36,24/12 oz,99,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599173,https://epallet.com/product/iberia-ep-iberia-corned-beef-599173
Canned Goods,Food,Iberia,IBERIA PINTO BEANS,IBERIA PINTO BEANS,7566910198,3950.00,39.50,3.29,0.11,12/29 oz,100,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Pantry & Baking Supplies",599172,https://epallet.com/product/iberia-ep-iberia-pinto-beans-599172
Canned Goods,Food,Iberia,IBERIA BLACK BEANS,IBERIA BLACK BEANS,7566910228,3950.00,39.50,3.29,0.11,12/29 oz,100,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Pantry & Baking Supplies",599171,https://epallet.com/product/iberia-ep-iberia-black-beans-599171
Canned Goods,Food,Iberia,IBERIA GREEN PIGEON PEAS,IBERIA PIGEON PEAS GREEN,7566910281,3351.75,44.69,1.86,0.12,24/15 oz,75,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Pantry & Baking Supplies",599170,https://epallet.com/product/iberia-ep-iberia-green-pigeon-peas-599170
Canned Goods,Food,Iberia,IBERIA BLACK BEANS,IBERIA BLACK BEANS W/B,7566910220,3318.30,36.87,1.54,0.10,24/15 oz,90,21,1,Yes,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Pantry & Baking Supplies",599164,https://epallet.com/product/iberia-ep-iberia-black-beans-599164
Canned Goods,Food,Iberia,IBERIA CORNED BEEF,IBERIA CORNED BEEF,7566911211,9996.03,100.97,4.21,0.35,24/12 oz,99,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Prepared & Ethnic Foods",599157,https://epallet.com/product/iberia-ep-iberia-corned-beef-599157
Canned Goods,Food,Iberia,IBERIA PINK BEANS,IBERIA PINK BEANS W/B,7566910180,3231.90,35.91,1.50,0.10,24/15 oz,90,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Pantry & Baking Supplies",599153,https://epallet.com/product/iberia-ep-iberia-pink-beans-wb-599153
Canned Goods,Food,Iberia,IBERIA BLACK BEANS,IBERIA BLACK BEANS W/B,7566910220,3231.90,35.91,1.50,0.10,24/15 oz,90,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Pantry & Baking Supplies",599152,https://epallet.com/product/iberia-ep-iberia-black-beans-wb-599152
Canned Goods,Food,Iberia,IBERIA GREEN PIGEON PEAS,IBERIA PIGEON PEAS GREEN,7566910281,3261.75,43.49,1.81,0.12,24/15 oz,75,21,1,No,Yes,No,"Non-Profit / Emergency Relief, Retail","Canned Goods, Pantry & Baking Supplies",599151,https://epallet.com/product/iberia-ep-iberia-pigeon-peas-green-599151
